Índice,"Número
colección
planta
madre","Fecha
siembra","Fecha
transplante",Bandeja,Fila,Columna,"Fecha
medición",Longitud tallo (mm),Número de hojas,Ángulo 1 (grados),Ángulo 2 (grados),Ángulo 3 (grados),Ángulo 4 (grados),Ángulo 5 (grados),Ángulo 6 (grados),Ángulo 7 (grados),Ángulo 8 (grados),Ángulo 9 (grados),Ángulo 10 (grados),Ángulo 11 (grados),Ángulo 12 (grados),Ángulo 13 (grados),Ángulo 14 (grados),Ángulo 15 (grados),índice2,Nombre_contorno,OBSERVACIONES,ARCHIVO.TIFF
169,1020,4/5/2019,12/7/2019,4A,2,9,6/27/2023,75.02,26,180,90,158,145,126,180,262,210,194,199,62,160,80,150,170,166,166_26-06-2023_1020_05-04-2019_07-12-2019_4A_2_9,1 HOJA AMARILLA,166_26-06-2023_1020_05-04-2019_07-12-2019_4A_2_9.tiff
121,1035,4/5/2019,11/4/2019,3A,3,1,6/27/2023,76.36,24,24,85,124,137,187,103,162,72,100,172,87,80,165,84,195,155,155_26-06-2023_1035_05-04-2019_04-11-2019_3A_3_1,"3 ROSETAS LATERALES, rev esta ubicación en la libreta es 1009 en campo es 1035",155_26-06-2023_1035_05-04-2019_04-11-2019_3A_3_1.tiff
150,1002,4/5/2019,11/4/2019,3A,5,10,6/25/2023,76.8,22,105,125,130,204,90,230,183,163,130,180,155,100,200,104,165,101,101_23-06-2023_1002_05-04-2019_04-11-2019_3A_5_10,NA,101_23-06-2023_1002_05-04-2019_04-11-2019_3A_5_10.tiff
154,1034,4/5/2019,12/7/2019,4A,1,4,6/26/2023,76.96,16,162,275,240,180,225,178,195,170,158,75,95,130,285,NA,NA,135,135_25-06-2023_1034_05-04-2019_07-12-2019_4A_1_4,2 ROSETAS LATERALES,135_25-06-2023_1034_05-04-2019_07-12-2019_4A_1_4.tiff
14,1009,4/5/2019,8/6/2019,1A,2,4,6/22/2023,76.97,33,102,87,96,45,153,140,220,144,85,93,136,95,81,155,83,4,4_10-06-2023_1009_05-04-2019_06-08-2019_1A_2_4,4 rosetas laterales,4_10-06-2023_1009_05-04-2019_06-08-2019_1A_2_4.tiff
218,1028,4/5/2019,12/7/2019,5A,2,7,6/25/2023,77.59,26,163,160,128,165,123,170,192,192,175,155,160,148,140,170,140,108,108_25-06-2023_1028_05-04-2019_07-12-2019_5A_2_7,"Rev esta ubicación en libreta 1018, marca metálica con numero 1018 en esta hoja 1008, 4 ROSETAS LATERALES, 1 HOJA AMARILLA",108_25-06-2023_1028_05-04-2019_07-12-2019_5A_2_7.tiff
97,1027,4/5/2019,9/4/2019,2A,5,7,6/27/2023,78.03,19,183,230,194,87,157,83,117,187,267,193,150,80,208,190,160,171,171_26-06-2023_1027_05-04-2019_04-09-2019_2A_5_7,1 HOJA AMARILLA,171_26-06-2023_1027_05-04-2019_04-09-2019_2A_5_7.tiff
98,1006,4/2/2019,9/4/2019,2A,5,8,6/22/2023,78.5,18,120,124,20,182,99,182,132,145,133,141,196,140,103,83,94,6,6_10-06-2023_1006_02-04-2019_04-09-2019_2A_5_8,3 ROSETAS LATERALES PEQEÑAS,6_10-06-2023_1006_02-04-2019_04-09-2019_2A_5_8.tiff
123,1014,4/5/2019,11/4/2019,3A,3,3,6/24/2023,78.85,21,77,230,83,160,80,187,50,139,94,227,94,165,105,69,125,54,54_10-06-2023_1014_05-04-2019_04-11-2019_3A_3_3,2 rosetAS LATERALES,54_10-06-2023_1014_05-04-2019_04-11-2019_3A_3_3.tiff
122,1020,4/5/2019,11/4/2019,3A,3,2,6/24/2023,78.9,22,98,145,70,150,85,240,210,230,212,102,160,160,119,128,143,90,90_21-06-2023_1020_05-04-2019_04-11-2019_3A_3_2,1 ROSETA LATERAL,90_21-06-2023_1020_05-04-2019_04-11-2019_3A_3_2.tiff
21,1020,4/5/2019,8/6/2019,1A,3,1,6/25/2023,79.06,25,135,170,183,142,82,200,253,190,135,220,88,120,175,145,150,93,93_21-06-2023_1020_05-04-2019_06-08-2019_1A_3_1,NA,93_21-06-2023_1020_05-04-2019_06-08-2019_1A_3_1.tiff
63,1010,4/5/2019,9/4/2019,2A,2,3,6/22/2023,79.1,14,155,98,90,162,82,239,40,165,93,51,80,59,NA,NA,NA,5,5_10-06-2023_1010_05-04-2019_04-09-2019_2A_2_3,1 HOJA AMARILLA,5_10-06-2023_1010_05-04-2019_04-09-2019_2A_2_3.tiff
115,1002,4/5/2019,11/4/2019,3A,2,5,6/22/2023,79.37,28,109,111,160,175,135,160,120,139,110,135,81,132,80,NA,NA,73,73_21-06-2023_1002_05-04-2019_04-11-2019_3A_2_5,"28 HOJAS, LAS HOJAS BASALES ESTÁN ENTORCHADAS",73_21-06-2023_1002_05-04-2019_04-11-2019_3A_2_5.tiff
8,1009,4/5/2019,8/6/2019,1A,1,8,6/24/2023,79.79,29,80,185,220,162,165,91,180,145,126,190,100,167,154,72,225,20,20_10-06-2023_1009_05-04-2019_06-08-2019_1A_1_8,NA,20_10-06-2023_1009_05-04-2019_06-08-2019_1A_1_8.tiff
193,1022,4/2/2019,12/7/2019,4A,5,3,6/27/2023,79.86,21,135,157,142,150,161,265,157,141,160,152,140,160,140,152,250,163,163_26-06-2023_1022_02-04-2019_07-12-2019_4A_5_3,"1 ROSETA LATERAL, 1 HOJA AMARILLA",163_26-06-2023_1022_02-04-2019_07-12-2019_4A_5_3.tiff
184,1020,4/5/2019,12/7/2019,4A,4,4,6/25/2023,80.06,24,87,82,155,100,80,130,105,71,123,90,150,110,92,105,152,76,76_21-06-2023_1020_05-04-2019_07-12-2019_4A_4_4,NA,76_21-06-2023_1020_05-04-2019_07-12-2019_4A_4_4.tiff
86,1014,4/5/2019,9/4/2019,2A,4,6,6/26/2023,82.51,19,163,220,270,130,104,230,200,138,105,85,100,150,305,105,70,150,150_25-06-2023_1014_05-04-2019_04-09-2019_2A_4_6,NA,150_25-06-2023_1014_05-04-2019_04-09-2019_2A_4_6.tiff
10,1017,4/5/2019,8/6/2019,1A,1,10,6/23/2023,83.31,26,86,152,197,97,120,66,89,80,134,77,100,185,88,119,125,22,22_10-06-2023_1017_05-04-2019_06-08-2019_1A_1_10,83.31 mm POSIBLE ERROR EN LA TOMA DE LA LONGITUD DEL TALLO,22_10-06-2023_1017_05-04-2019_06-08-2019_1A_1_10.tiff
236,1012,4/5/2019,12/7/2019,5A,4,5,6/27/2023,84.26,29,155,88,105,182,130,141,175,150,155,170,165,120,100,170,77,157,157_26-06-2023_1012_05-04-2019_07-12-2019_5A_4_5,NA,157_26-06-2023_1012_05-04-2019_07-12-2019_5A_4_5.tiff
134,1009,4/5/2019,11/4/2019,3A,4,4,6/27/2023,86.21,29,210,250,244,187,114,155,174,100,175,135,144,160,152,126,186,164,164_26-06-2023_1009_05-04-2019_04-11-2019_3A_4_4,NA,164_26-06-2023_1009_05-04-2019_04-11-2019_3A_4_4.tiff
242,1028,4/5/2019,12/7/2019,5A,5,1,6/23/2023,86.74,15,127,180,112,161,172,138,141,135,97,129,80,NA,NA,NA,NA,35,35_10-06-2023_1028_05-04-2019_07-12-2019_5A_5_1,1 amarilla,35_10-06-2023_1028_05-04-2019_07-12-2019_5A_5_1.tiff
70,1012,4/5/2019,9/4/2019,2A,2,10,6/24/2023,87.63,28,217,95,162,74,235,92,158,95,212,230,215,214,210,216,195,85,85_21-06-2023_1012_05-04-2019_04-09-2019_2A_2_10,"3 ROSETAS LATERALES, 2 HOJAS AMARILLAS",85_21-06-2023_1012_05-04-2019_04-09-2019_2A_2_10.tiff
151,1018,4/5/2019,12/7/2019,4A,1,1,6/27/2023,90.3,23,175,80,174,235,184,217,203,209,200,212,200,195,94,135,92,173,173_26-06-2023_1018_05-04-2019_07-12-2019_4A_1_1,"3 ROSETAS LATERALES, 1 HOJA AMARILLA",173_26-06-2023_1018_05-04-2019_07-12-2019_4A_1_1.tiff
102,1002,4/2/2019,11/4/2019,3A,1,2,6/23/2023,91.85,35,145,88,94,150,95,100,135,95,225,80,155,110,200,72,105,8,8_10-06-2023_1002_02-04-2019_04-11-2019_3A_1_2,NA,8_10-06-2023_1002_02-04-2019_04-11-2019_3A_1_2.tiff
143,1002,4/2/2019,11/4/2019,3A,5,3,6/26/2023,94.26,26,195,100,240,280,250,270,217,62,215,188,96,70,149,155,175,132,132_25-06-2023_1002_02-04-2019_04-11-2019_3A_5_3,NA,132_25-06-2023_1002_02-04-2019_04-11-2019_3A_5_3.tiff
104,1024,4/2/2019,11/4/2019,3A,1,4,6/27/2023,NA,NA,140,70,103,119,75,57,122,220,212,188,210,210,255,176,208,165,165_26-06-2023_1024_02-04-2019_04-11-2019_3A_1_4,NA,165_26-06-2023_1024_02-04-2019_04-11-2019_3A_1_4.tiff
130,1035,4/5/2019,11/4/2019,3A,3,10,6/25/2023,NA,21,150,160,45,219,205,192,132,85,212,223,202,225,190,142,120,84,84_21-06-2023_1035_05-04-2019_04-11-2019_3A_3_10,"2 HOJAS AMARILLAS, ERROR EN LA MEDICIÓN DE LA LONGITUD DEL TALLO",84_21-06-2023_1035_05-04-2019_04-11-2019_3A_3_10.tiff
209,1018,4/5/2019,12/7/2019,5A,1,8,6/23/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52_10-06-2023_1018_05-04-2019_07-12-2019_5A_1_8,"no medible, con dosn hojas depredadas",52_10-06-2023_1018_05-04-2019_07-12-2019_5A_1_8.tiff
